Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description
Covid,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Exposed,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Exposed (quarantined),,0,False,0.0,None,Model file,Certain,,,,,,
Covid,Compartment,Infectious (presymptomatic),,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,"Infectious (presymptomatic, isolated)",,0,False,0.0,None,Model file,Certain,,,,,,
Covid,Compartment,Infectious (mild to moderate),,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,"Infectious (mild to moderate, isolated)",,0,False,0.0,None,Model file,Certain,,,,,,
Covid,Compartment,Infectious (severe),,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,"Infectious (severe, isolated)",,0,False,0.0,None,Model file,Certain,,,,,,
Covid,Compartment,Admitted to hospital (pre-ICU),,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,ICU,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Admitted to hospital (post-ICU),,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,
Covid,Compartment,Dead,,0,False,0.0,None,Model file,Certain,,,,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,0.0,False,Susceptible individuals become exposed through contact with infectious individuals.
Covid,Flow,,,,,,,Model file,Certain,,Infectious (presymptomatic),RateFlow,0.0,False,Exposed individuals progress to presymptomatic infectious state.
Covid,Flow,,,,,,,Model file,Certain,,Exposed (quarantined),RateFlow,0.0,False,Exposed individuals are quarantined to prevent further spread.
Covid,Flow,,,,,,,Model file,Certain,,Infectious (mild to moderate),RateFlow,0.0,False,Presymptomatic individuals develop mild to moderate symptoms.
Covid,Flow,,,,,,,Model file,Certain,,Infectious (severe),RateFlow,0.0,False,Presymptomatic individuals develop severe symptoms.
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (pre-ICU),RateFlow,0.0,False,Mild to moderate cases that worsen are admitted to hospital.
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Mild to moderate cases recover without hospital admission.
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (pre-ICU),RateFlow,0.0,False,Severe cases are admitted to hospital.
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Severe cases recover without ICU admission.
Covid,Flow,,,,,,,Model file,Certain,,ICU,RateFlow,0.0,False,Hospitalized individuals progress to ICU care.
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (post-ICU),RateFlow,0.0,False,Individuals in ICU recover enough to move to regular hospital care.
Covid,Flow,,,,,,,Model file,Certain,,Dead,RateFlow,0.0,False,Individuals in ICU who succumb to the infection.
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Individuals recover from the infection after ICU care.
