Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description
Covid,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Exposed,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Exposed (quarantined),,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Infectious (presymptomatic),,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,"Infectious (presymptomatic, isolated)",,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Infectious (mild to moderate),,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,"Infectious (mild to moderate, isolated)",,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Infectious (severe),,0,False,3.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,"Infectious (severe, isolated)",,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Admitted to hospital,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Admitted to hospital (pre-ICU),,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,ICU,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Admitted to hospital (post-ICU),,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Covid,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,
Covid,Compartment,Dead,,0,False,0.0,None,Model file,Certain,,,,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,0.0,False,Transmission of infection to susceptible individuals.
Covid,Flow,,,,,,,Model file,Certain,,Exposed (quarantined),RateFlow,0.0,False,Quarantine of exposed individuals.
Covid,Flow,,,,,,,Model file,Certain,,Infectious (presymptomatic),RateFlow,0.0,False,Progression from latent period to presymptomatic infectiousness.
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (presymptomatic, isolated)",RateFlow,0.0,False,Progression from quarantined latent period to isolated presymptomatic infectiousness.
Covid,Flow,,,,,,,Model file,Certain,,Infectious (mild to moderate),RateFlow,0.0,False,Development of mild to moderate symptoms.
Covid,Flow,,,,,,,Model file,Certain,,Infectious (severe),RateFlow,0.0,False,Development of severe symptoms.
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (mild to moderate, isolated)",RateFlow,0.0,False,Development of mild to moderate symptoms while isolated.
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (severe, isolated)",RateFlow,0.0,False,Development of severe symptoms while isolated.
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (mild to moderate, isolated)",RateFlow,0.0,False,Isolation of individuals with mild to moderate symptoms.
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery from mild to moderate infection.
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery from isolated mild to moderate infection.
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (severe, isolated)",RateFlow,0.0,False,Isolation of individuals with severe symptoms.
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital,RateFlow,0.0,False,Hospitalization of severe cases not requiring ICU care.
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (pre-ICU),RateFlow,0.0,False,Hospitalization of severe cases requiring ICU care.
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital,RateFlow,0.0,False,Hospitalization of isolated severe cases not requiring ICU care.
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (pre-ICU),RateFlow,0.0,False,Hospitalization of isolated severe cases requiring ICU care.
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery of hospitalized non-ICU patients.
Covid,Flow,,,,,,,Model file,Certain,,ICU,RateFlow,0.0,False,Admission to the ICU.
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (post-ICU),RateFlow,0.0,False,Discharge from ICU to a hospital ward.
Covid,Flow,,,,,,,Model file,Certain,,Dead,RateFlow,0.0,False,Death of patients in the ICU.
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery of patients after ICU stay.
