Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Covid,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Exposed,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Exposed (quarantined),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious (presymptomatic),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,"Infectious (presymptomatic, isolated)",,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious (mild to moderate),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,"Infectious (mild to moderate, isolated)",,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious (severe),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,"Infectious (severe, isolated)",,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to hospital,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to hospital (pre-ICU),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,ICU,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to hospital (post-ICU),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Covid,Compartment,Dead,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,//@parameters.6,False,Infection of susceptible individuals through contact with individuals in any of the infectious compartments.,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed (quarantined),RateFlow,0.0,False,Quarantine of exposed individuals identified via contact tracing.,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious (presymptomatic),RateFlow,//@parameters.0,False,Progression from the latent period to the presymptomatic infectious stage.,,,
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (presymptomatic, isolated)",RateFlow,//@parameters.0,False,Progression from the quarantined latent period to the isolated presymptomatic infectious stage.,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious (mild to moderate),RateFlow,0.0,False,Onset of mild to moderate symptoms.,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious (severe),RateFlow,0.0,False,Onset of severe symptoms.,,,
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (mild to moderate, isolated)",RateFlow,0.0,False,Onset of mild to moderate symptoms in an isolated individual.,,,
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (severe, isolated)",RateFlow,0.0,False,Onset of severe symptoms in an isolated individual.,,,
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (mild to moderate, isolated)",RateFlow,0.0,False,Isolation of individuals with mild to moderate symptoms following testing.,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.6,False,Recovery of individuals with mild to moderate infection.,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.6,False,Recovery of isolated individuals with mild to moderate infection.,,,
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (severe, isolated)",RateFlow,0.0,False,Isolation of individuals with severe symptoms following testing.,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital,RateFlow,0.0,False,Hospitalization of severe cases.,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (pre-ICU),RateFlow,0.0,False,Hospitalization of isolated severe cases that will require ICU care.,,,
